Predictions,smiles,drugbank_id
0.0087791635,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,DB00253
0.77122897,[Ca++].CC([O-])=O.CC([O-])=O,DB00258
0.12151429,NC1=CC=C(C=C1)S(N)(=O)=O,DB00259
0.017646644,N[C@@H]1CONC1=O,DB00260
0.009405332,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,DB00261
0.011704041,ClCCNC(=O)N(CCCl)N=O,DB00262
0.20038852,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,DB00263
0.0115915965,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,DB00264
0.101092435,CCN(C(=O)C=CC)C1=CC=CC=C1C,DB00265
0.34438783,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,DB00266
0.82954335,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,DB00268
0.009752978,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,DB00270
0.02289808,NCCC1=CC=NN1,DB00272
0.005012836,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,DB00273
0.018335577,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O,DB00274
0.019437307,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,DB00275
0.67300105,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,DB00276
0.6899855,CN1C2=C(NC=N2)C(=O)N(C)C1=O,DB00277
0.018959872,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,DB00280
0.05775464,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,DB00281
0.005137756,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,DB00283
0.056465045,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,DB00285
0.004507387,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,DB00289
0.24249974,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,DB00291
0.037929986,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,DB00292
0.0057143243,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,DB00293
0.008208404,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],DB00294
0.0050776494,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,DB00295
0.012454275,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,DB00296
0.012454309,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,DB00297
0.0062373537,CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1,DB00298
0.94750667,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2,DB00299
0.010965713,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1F)C(O)=O,DB00301
0.010735208,NC[C@H]1CC[C@@H](CC1)C(O)=O,DB00302
0.007931103,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O,DB00303
0.005468509,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H],DB00304
0.004524839,[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O,DB00305
0.0064551295,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,DB00306
0.015477853,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,DB00308
0.21629852,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,DB00310
0.009216365,CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O,DB00311
0.003932509,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,DB00312
0.016376166,CCCC(CCC)C(O)=O,DB00313
0.035720006,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12,DB00315
0.96559817,CC(=O)NC1=CC=C(O)C=C1,DB00316
0.99775887,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,DB00317
0.00442908,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC,DB00318
0.21104914,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,DB00321
0.035417907,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O,DB00322
0.85012615,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O,DB00323
0.006831515,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,DB00324
0.8059465,O=N[Fe--](C#N)(C#N)(C#N)(C#N)C#N,DB00325
0.00390635,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,DB00327
0.96084464,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,DB00328
0.024623938,CC[C@@H](CO)NCCN[C@@H](CC)CO,DB00330
0.30045918,CN(C)C(=N)NC(N)=N,DB00331
0.18794008,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)C(C)C,DB00332
0.006725464,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,DB00334
0.030657563,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,DB00335
0.0075102434,NC(=O)N\\N=C\\C1=CC=C(O1)[N+]([O-])=O,DB00336
0.114229195,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,DB00338
0.5051009,NC(=O)C1=NC=CN=C1,DB00339
0.0055211713,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,DB00341
0.0034383538,COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,DB00343
0.012409886,CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,DB00344
0.55130845,NC1=CC=C(C=C1)C(=O)NCC(O)=O,DB00345
0.8546555,COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N(C)CCCNC(=O)C1CCCO1,DB00346
0.103042625,CN1C(=O)OC(C)(C)C1=O,DB00347
0.012648778,[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O,DB00348
0.14433342,CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O,DB00349
0.053173803,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,DB00350
0.0067229928,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C,DB00351
0.63011646,NC1=NC(=S)C2=C(N1)N=CN2,DB00352
0.011718811,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO,DB00353
0.009069267,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(=O)O)\\C2=CSC([NH3+])=N2)C(=O)N1S([O-])(=O)=O,DB00355
0.009776179,ClC1=CC2=C(OC(=O)N2)C=C1,DB00356
0.09583891,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,DB00357
0.15321244,OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,DB00358
0.98908967,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,DB00359
0.014094265,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,DB00363
0.1566922,CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O,DB00365
0.010691039,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,DB00366
0.008208129,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],DB00367
0.8522656,NC[C@H](O)C1=CC(O)=C(O)C=C1,DB00368
0.8038433,NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,DB00369
0.14849828,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1,DB00370
0.01338264,CCCC(C)(COC(N)=O)COC(N)=O,DB00371
0.006824184,CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,DB00372
0.03802392,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1,DB00373
0.0093222475,[H][C@]12C[C@@H](O)[C@H](CC[C@@H](O)CCCCC)[C@@]1([H])CC1=C(C2)C(OCC(O)=O)=CC=C1,DB00374
0.01129313,OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1,DB00376
0.010225416,[H][C@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]1CN2CCC1CC2,DB00377
0.011246231,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C,DB00378
0.0050178897,CC(N)COC1=C(C)C=CC=C1C,DB00379
0.05761782,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,DB00380
0.0113088265,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,DB00381
0.9836532,NC1=C2CCCCC2=NC2=CC=CC=C12,DB00382
0.008462595,CN1CCCN=C1COC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,DB00383
0.9912129,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,DB00384
0.06533221,OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1,DB00387
0.4856803,CNC[C@H](O)C1=CC(O)=CC=C1,DB00388
0.88422304,CCOC(=O)N1C=CN(C)C1=S,DB00389
0.0072809113,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,DB00391
0.004323241,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C,DB00393
0.0064605265,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,DB00395
0.009167777,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,DB00396
0.07099002,CC(N)C(O)C1=CC=CC=C1,DB00397
0.9856307,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,DB00398
0.9908539,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O,DB00399
0.011758721,COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,DB00400
0.0051254574,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C,DB00401
0.08384636,CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1,DB00402
